AÑO;Ene.;Feb.;Mar.;Abr.;May.;Jun.;Jul.;Ago.;Sep.;Oct.;Nov.;Dic.
1995;5,37;5,43;5,54;5,68;5,79;5,86;5,9;5,97;6,12;6,19;6,29;6,4
1996;6,55;6,72;6,92;7,11;7,09;7,2;7,32;7,47;7,65;7,77;7,94;8,04
1997;8,56;8,86;8,98;9,17;9,31;9,44;9,63;9,76;9,99;10,17;10,31;10,51
1998;10,93;11,42;11,74;12,25;12,47;12,83;12,93;13,1;13,76;14,65;14,95;15,07
1999;15,55;15,96;18,12;19,12;19,29;19,63;20,23;20,34;20,7;21,56;22,93;24,21
2000;27,68;30,46;32,77;36,11;37,97;39,99;40,94;41,49;43,02;44,18;45,14;46,25
2001;49,47;50,91;52,03;52,92;53,01;53,26;53,39;53,62;54,72;55,36;56,25;56,62
2002;57,65;58,26;58,92;59,8;60,09;60,32;60,28;60,54;60,89;61,28;61,71;61,92
2003;63,46;63,95;64,31;64,93;65,05;64,91;64,93;64,97;65,49;65,49;65,71;65,68
2004;65,95;66,4;66,87;67,3;66,98;66,78;66,37;66,38;66,54;66,72;67;66,96
2005;67,12;67,3;67,48;68,05;68,17;68,21;68,11;68,01;68,5;68,74;68,85;69,06
2006;69,39;69,88;70,33;70,38;70,28;70,12;70,14;70,29;70,7;70,94;71,06;71,04
2007;71,25;71,3;71,37;71,36;71,38;71,66;71,96;72,01;72,52;72,62;72,98;73,4
2008;74,23;74,94;76,04;77,2;78,01;78,6;79,06;79,23;79,75;79,77;79,64;79,88
2009;80,44;80,82;81,7;82,23;82,23;82,17;82,11;81,86;82,37;82,57;82,85;83,32
2010;84,01;84,3;84,44;84,87;84,89;84,88;84,9;84,99;85,21;85,42;85,65;86,09
2011;86,68;87,16;87,45;88,17;88,48;88,51;88,67;89,1;89,8;90,12;90,39;90,75
2012;91,27;91,98;92,81;92,95;92,77;92,93;93,18;93,45;94,49;94,58;94,71;94,53
2013;95,01;95,18;95,6;95,77;95,56;95,42;95,41;95,57;96,11;96,51;96,89;97,08
2014;97,78;97,89;98,57;98,86;98,82;98,93;99,33;99,53;100,14;100,35;100,53;100,64
2015;101,24;101,86;102,28;103,14;103,32;103,74;103,66;103,66;103,93;103,84;103,95;104,05
2016;104,37;104,51;104,65;104,97;105,01;105,38;105,3;105,12;105,28;105,2;105,04;105,21
2017;105,3;105,51;105,66;106,12;106,17;105,55;105,4;105,42;105,26;105,1;104,82;105
2018;105,2;105,37;105,43;105,29;105,09;104,81;104,8;105,08;105,5;105,45;105,18;105,28
