Fecha;BBOL;BGYE;BPIN;CN;CF;HE;ISC;SASC
39448;1,4;3,58;1,9;30;6,39;53,1;1,15;1,11
39479;1,38;3,65;2;30,25;6,54;52,94;1,2;1,11
39508;1,36;3,65;2,07;30;6,8;52,92;1,23;1,2
39539;1,4;3,65;2,08;30,08;5,36;52,99;1,2;1,14
39569;1,35;3,72;2,01;30;5,73;50,79;1,25;1,15
39600;1,2;4;2,25;30,07;5,35;49,21;1,23;1,18
39630;1,34;4;2,08;30;5,43;48,67;1,25;1,12
39661;1,32;4;2,06;30,03;5,61;50,92;1,26;1,16
39692;1,09;4;2,04;30;5,42;50,52;1,25;1,15
39722;1,4;4;2,02;30;5,43;49,49;1,24;1,14
39753;1,43;4;2;29;5,39;49,32;1,18;1,09
39783;1,47;4;1,87;30;5,46;49;1,09;0,99
39814;1,4;4;2;30;5,35;48,96;1,2;0,98
39845;1,23;4;1,8;30;5,17;48,75;1,25;1
39873;1,1;3,91;1,8;30;5,16;48,25;1,19;1,04
39904;1,1;3,8;1,8;26,67;4,66;46,97;1;1
39934;1,45;3,31;1,78;30;4,61;45,4;1;1
39965;1,18;3,29;1,65;30;4,35;44,8;1,07;1
39995;1,11;3,12;1,51;29,33;4,26;46,83;1,02;1
40026;1,1;2,86;1,71;30;4,16;40,83;1;0,88
40057;1,19;2,88;1,4;30;3,89;40,13;1;0,89
40087;1,1;2,9;1,3;28,12;4,08;43,6;0,98;0,91
40118;1,1;2,96;1,3;29,49;4,91;43,24;0,97;0,9
40148;1,1;2,96;1,35;30;5,05;40,5;0,96;0,84
40179;1,07;2,95;1,43;29,67;4,85;39,5;0,96;0,86
40210;1,01;2,99;1,5;29;4,9;42;0,97;0,85
40238;1,1;3;1,38;29,26;5,1;40,5;0,97;0,88
40269;1,1;2,99;1,65;28,75;4,81;43,51;0,97;0,85
40299;1,1;2,98;1,46;30,33;4,82;41,2;1;0,91
40330;1,14;2,96;1,55;30;4,55;46;1,05;0,96
40360;1,1;2,97;1,55;35;4,45;47,1;1,03;0,96
40391;1,2;2,94;1,55;30,67;4,55;47,5;1,03;0,92
40422;1,17;2,86;1,58;35;4,62;50;1,02;0,95
40452;1,1;2,86;1,52;32,2;4,78;46,36;1,03;0,91
40483;1,2;2,85;1,5;32,57;4,86;51,5;1,05;0,92
40513;1,18;2,9;1,46;33,09;4,92;51,53;1,05;0,96
40544;1,2;2,72;1,48;42;5,23;52,25;1,01;0,97
40575;1,2;2,63;1,55;40;5,11;52,65;1,03;1
40603;1,2;2,48;1,5;35,97;5,13;50,86;1,13;0,97
40634;1,2;2,29;1,39;36,73;4,42;53;0,98;0,91
40664;1,2;2,22;1,41;37,56;4,52;53,1;1,05;1
40695;1,1;2,15;1,41;40;4,54;53,1;1,09;1,09
