EXPEDIENTE;TIPO;REGIÓN;PROVINCIA;CIUDAD;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD;SECTOR_PROD
705267;ASOCIACIÓN O CONSORCIO;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;3015;317752428;129054605;540059494;129057228;CONSTRUCCIÓN
10532;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;2074;635795300;504018274;255130630,8;65339379,3;CONSTRUCCIÓN
154476;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;4;250578955;250136222;4073683,34;20250531,4;CONSTRUCCIÓN
162863;SUCURSAL EXTRANJERA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;304;70852777;-68706182;7260466,05;16406891;CONSTRUCCIÓN
144628;SUCURSAL EXTRANJERA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;234;153126659;15070718,2;88207523,9;5473162,2;CONSTRUCCIÓN
82932;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;18;81447046,6;23511466,3;86246345,52;4672989,64;CONSTRUCCIÓN
54060;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;GRANDE;MERCADO DE VALORES;867;62168040,55;25976887,12;60562762,57;3101272,23;CONSTRUCCIÓN
82921;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;21;95950864,5;25247178,4;66060087,45;2718931,33;CONSTRUCCIÓN
74543;ANÓNIMA;COSTA;GUAYAS;SAMBORONDÓN;GRANDE;SOCIETARIO;79;41385954,3;10270453,9;30919325,38;2616733,11;CONSTRUCCIÓN
151994;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;737;11735759,2;6884724,26;19296145,84;2331064,6;CONSTRUCCIÓN
125804;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;22;12311583,6;6174727,37;3370850,82;2184742,13;CONSTRUCCIÓN
51421;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;807;13923259,8;7269854,43;21758867,3;2031010,14;CONSTRUCCIÓN
