EXPEDIENTE;TIPO;REGIÓN;PROVINCIA;CIUDAD;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD;SECTOR_PROD
2448;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;MERCADO DE VALORES;1733;579224301,1;193840758,3;547289864,1;114473699;MANUFACTURA
2308;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;MERCADO DE VALORES;876;604641804;391326265,5;434996659,5;102527118;MANUFACTURA
49769;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;832;205910157;71201772,7;372777432;51285972,9;MANUFACTURA
7154;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;MERCADO DE VALORES;7199;698878807,9;430448854,7;967206669,1;47017721,6;MANUFACTURA
1814;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;MERCADO DE VALORES;295;211900516,8;100324342,8;156790566;33687618,9;MANUFACTURA
70689;ANÓNIMA;COSTA;GUAYAS;ELOY ALFARO (DURAN);GRANDE;SOCIETARIO;555;269276252;113563421;340413177,5;33092140,9;MANUFACTURA
4238;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;MERCADO DE VALORES;1577;238132221;32952778,8;494946556,6;27828943,6;MANUFACTURA
3680;ANÓNIMA;COSTA;GUAYAS;CRNEL. MARCELINO MARIDUEÑA (SAN CARLOS);GRANDE;SOCIETARIO;635;159314927;108351917;186999653,7;24680453,4;MANUFACTURA
7307;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;446;177233495;130810672;133812905,4;19025839,7;MANUFACTURA
53019;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;MERCADO DE VALORES;512;85879512,64;55811129,11;109769514,2;13011603,2;MANUFACTURA
42971;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;518;142142122;58789513,3;158062652,4;12206093,3;MANUFACTURA
1920;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;586;278759064;165910010;430270791,6;11897083,3;MANUFACTURA
75640;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;727;64954750;29648210,9;74954279,05;11206467,4;MANUFACTURA
102796;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;303;68838863;33955369,7;120220399,6;11001800;MANUFACTURA
6233;ANÓNIMA;SIERRA;AZUAY;CUENCA;GRANDE;SOCIETARIO;1000;187049738;85074721;208889994,6;10755597,2;MANUFACTURA
1593;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;569;87895099,9;42535331,5;125856899,4;10088086,6;MANUFACTURA
7027;ANÓNIMA;COSTA;MANABI;MANTA;GRANDE;SOCIETARIO;1516;108821252;79794319,1;172133587,7;10024648,9;MANUFACTURA
4312;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;MERCADO DE VALORES;226;71988425;50521963,44;61305359,46;10021745,7;MANUFACTURA
73818;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;MERCADO DE VALORES;481;211309528,4;117401073,2;203699842,8;9903590,52;MANUFACTURA
30024;ANÓNIMA;SIERRA;AZUAY;CUENCA;GRANDE;MERCADO DE VALORES;2104;150103721,7;57655723,69;186187601,1;8683988,78;MANUFACTURA
13717;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;MERCADO DE VALORES;414;52218572,83;15855599,76;77957933,99;7156518,54;MANUFACTURA
87185;SUCURSAL EXTRANJERA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;3873;177921423;34735399,4;529659199;7140472,47;MANUFACTURA
6370;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;456;57635449,4;44273705,6;53668133,32;7088561,2;MANUFACTURA
3537;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;204;42389446,4;28974043,8;43171281,9;7086948,49;MANUFACTURA
1943;ANÓNIMA;SIERRA;PICHINCHA;SANGOLQUÍ;GRANDE;SOCIETARIO;569;59700241,5;42726461,8;71945931,51;6925655,1;MANUFACTURA
3265;ANÓNIMA;COSTA;GUAYAS;ELOY ALFARO (DURAN);GRANDE;SOCIETARIO;547;79860002,2;47173532,3;96280540,47;6833243,89;MANUFACTURA
30310;RESPONSABILIDAD LIMITADA;SIERRA;AZUAY;CUENCA;GRANDE;MERCADO DE VALORES;629;110526170,8;54300852,81;85586270,78;6217981,98;MANUFACTURA
1975;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;256;42825393,4;34379639,1;49163517,65;5389579,12;MANUFACTURA
48839;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;397;68580983,1;38984302,5;122288258,2;5312997,65;MANUFACTURA
636;ANÓNIMA;COSTA;MANABI;MANTA;GRANDE;SOCIETARIO;1023;64894130,1;48229803,7;64899751,96;5288774,22;MANUFACTURA
63496;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;44;13984960,9;5137861,6;16452322;5128404,95;MANUFACTURA
46427;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;887;50279998,9;32647264,2;72522000,13;5097954,79;MANUFACTURA
21465;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;571;50124625,9;31328791,5;71522265,9;4724014,13;MANUFACTURA
