GENERO;NIVEL;FINAL;VECES;CARRERA
F;5;80;1;A
M;5;76;1;A
F;5;70;1;A
M;5;87;1;A
M;5;76;1;A
F;5;81;1;A
F;5;85;1;A
M;5;82;1;A
F;5;85;1;A
M;5;0;2;A
F;5;96;1;A
F;5;0;2;A
M;5;0;1;A
F;5;83;1;A
F;5;74;1;A
F;5;77;1;A
F;5;79;1;A
F;5;79;1;A
F;5;0;1;A
M;5;73;1;A
F;5;80;1;A
F;5;87;1;A
F;5;75;1;A
F;5;74;1;A
F;5;75;1;A
F;5;74;1;A
F;5;80;1;A
M;5;78;1;A
F;5;81;1;A
F;5;86;1;A
F;5;93;1;A
M;5;78;1;A
F;5;81;1;A
F;5;77;1;A
F;5;28;1;A
F;5;77;1;A
F;5;75;1;A
F;5;92;1;A
M;5;73;1;A
F;5;88;1;A
F;5;83;1;A
F;5;80;1;A
M;5;72;1;A
M;5;84;1;A
F;5;79;1;A
F;5;82;1;A
F;5;83;1;A
F;5;71;1;A
M;5;73;1;A
M;5;72;1;A
F;5;74;1;A
F;5;87;1;A
F;5;75;1;A
M;5;84;1;A
M;5;80;1;A
F;5;93;1;A
F;5;80;1;A
F;5;82;2;A
F;5;82;1;A
F;5;79;1;A
F;5;79;1;A
F;5;100;1;A
M;5;70;1;A
F;5;74;1;A
F;5;70;1;A
F;5;74;1;A
M;5;71;1;A
F;5;85;1;A
F;5;80;1;A
F;5;90;1;A
F;5;81;1;A
F;5;91;1;A
F;5;79;1;A
M;5;71;1;A
F;5;77;1;A
M;5;72;1;A
F;5;75;1;A
F;5;70;1;A
M;5;70;1;A
M;5;73;1;A
F;5;86;1;A
F;5;84;1;A
M;5;70;2;A
F;5;70;1;A
F;5;90;1;A
F;5;74;1;A
F;5;70;1;A
F;5;77;1;A
F;5;76;1;A
F;5;79;1;A
M;5;78;1;A
M;5;72;2;A
M;5;70;1;A
F;5;80;1;A
M;5;75;1;A
M;5;75;1;A
F;5;70;2;A
F;5;70;1;A
M;5;80;1;A
M;5;72;1;A
M;5;70;1;A
F;5;72;1;A
M;5;83;1;A
M;5;91;1;A
M;5;90;1;A
M;5;76;1;A
F;5;84;1;A
M;5;71;1;A
M;5;84;1;A
M;5;96;1;A
F;5;89;1;A
F;5;73;1;A
M;5;98;1;A
M;5;0;1;A
F;5;73;1;A
M;5;0;1;A
F;5;93;1;A
F;5;85;1;A
M;8;87;1;A
F;8;82;1;A
F;8;82;1;A
F;8;82;1;A
M;8;94;1;A
M;8;79;1;A
F;8;93;1;A
F;8;84;1;A
F;8;98;1;A
F;8;84;1;A
F;8;90;1;A
F;8;91;1;A
F;8;87;1;A
M;8;91;1;A
F;8;86;1;A
F;8;94;1;A
M;8;89;1;A
M;8;87;1;A
F;8;84;1;A
F;8;72;1;A
F;8;88;1;A
F;8;88;1;A
M;8;82;1;A
F;8;81;1;A
F;8;98;1;A
F;8;71;1;A
M;8;79;1;A
F;8;86;1;A
F;8;86;1;A
F;8;84;1;A
F;8;88;1;A
F;8;92;1;A
F;8;94;1;A
F;8;95;1;A
F;8;95;1;A
F;8;95;1;A
F;8;97;1;A
F;8;91;1;A
F;8;84;1;A
F;8;73;1;A
F;8;72;1;A
F;8;86;1;A
M;8;87;1;A
F;8;79;1;A
M;8;79;1;A
M;8;94;1;A
F;8;94;1;A
F;8;100;1;A
F;8;89;1;A
F;8;86;1;A
M;8;89;1;A
M;8;73;1;A
F;8;83;1;A
F;8;82;1;A
F;8;85;1;A
F;8;78;1;A
M;8;88;1;A
F;8;98;1;A
F;8;99;1;A
F;8;91;1;A
M;8;77;1;A
M;8;87;1;A
F;8;89;1;A
F;8;82;1;A
F;8;83;1;A
F;8;94;1;A
F;8;92;1;A
M;8;87;1;A
F;8;87;1;A
F;8;98;1;A
F;8;71;1;A
F;8;90;1;A
F;8;87;1;A
M;8;77;1;A
M;8;88;1;A
F;8;76;1;A
F;8;91;1;A
M;8;76;1;A
M;8;83;1;A
M;8;93;1;A
M;8;81;1;A
M;8;71;1;A
F;8;92;1;A
