EXPEDIENTE;TIPO;REGIÓN;PROVINCIA;CIUDAD;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD;SECTOR_PROD
384;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;MERCADO DE VALORES;10478;1685738006;1293426522;2089984173;154011840;COMERCIO
3135;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;3112;306668973;230673469;284859327,2;43384705,4;COMERCIO
85376;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;653;84618358;52481149,7;180983653;40886487,4;COMERCIO
8343;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;118;285941904;168711150;914448789,6;38452210,8;COMERCIO
3502;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;MERCADO DE VALORES;8154;394973903;76656052,14;687780605,9;35843565,5;COMERCIO
193;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;201;227377975;184691455;279707802,3;28307136,9;COMERCIO
175280;RESPONSABILIDAD LIMITADA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;131;79714965,9;25780431,5;359525539,6;25762931,5;COMERCIO
2913;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;MERCADO DE VALORES;9;665036500,3;248266181;1147434507;25446073,8;COMERCIO
9304;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;50;64379311;31902521,1;42722745,84;24529529,6;COMERCIO
128168;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;306;279438059;46061167,1;904318714;20464394;COMERCIO
166413;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;1135;192559994;92065702,2;256311278;16937816,4;COMERCIO
44313;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;MERCADO DE VALORES;3428;297845069,3;55252632,62;726292812;16352917,5;COMERCIO
48145;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;MERCADO DE VALORES;1216;113318579,8;47692386,31;137997680,9;15336339,7;COMERCIO
47117;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;239;65186387,1;16470712;143501670,6;12734760;COMERCIO
40326;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;65;50888616,7;14493085,5;66562344,04;11903987,8;COMERCIO
11050;RESPONSABILIDAD LIMITADA;SIERRA;TUNGURAHUA;AMBATO;GRANDE;SOCIETARIO;83;72882138,3;30669809,2;182668641;11147798,1;COMERCIO
153345;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;GRANDE;MERCADO DE VALORES;3176;125817580;21118288;359090435;11027149;COMERCIO
9144;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;560;77857705,9;9333862,67;172732667;10983175,4;COMERCIO
47406;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;80;28192266,2;9856982,65;48122892,31;9332036,99;COMERCIO
1455;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;194;65846853,3;14495133,7;281525862;8486028;COMERCIO
149080;RESPONSABILIDAD LIMITADA;SIERRA;TUNGURAHUA;AMBATO;GRANDE;SOCIETARIO;285;58961907,4;34648106;69471832,6;8054929,46;COMERCIO
9635;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;366;49339886,2;15722193,4;93826877,95;7886129,37;COMERCIO
153454;ANÓNIMA;SIERRA;PICHINCHA;TABACUNDO;GRANDE;SOCIETARIO;267;20035487,8;10964334;20967890,41;7323253,45;COMERCIO
617;ANÓNIMA;SIERRA;AZUAY;CUENCA;GRANDE;SOCIETARIO;402;172704293;59932747,5;175442445,4;7308544,33;COMERCIO
5276;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;863;177412550;71779255,7;162110316,3;6897182,22;COMERCIO
18687;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;2387;84125792,9;32121383,1;112536276,8;6896622,42;COMERCIO
92003;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;696;67055051,2;36748049,4;87093734,37;6829808,04;COMERCIO
156811;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;1944;124080869;46751664,9;315505904,9;6827614,35;COMERCIO
178474;ANÓNIMA;COSTA;GUAYAS;ELOY ALFARO (DURAN);GRANDE;SOCIETARIO;363;131848239;31636545;93939966,68;6664838,47;COMERCIO
