EXPEDIENTE;TIPO;REGIÓN;PROVINCIA;CIUDAD;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD;SECTOR_PROD
153153;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;2;70286808,5;54763679,4;8678309,85;7573358,79;INMOBILIARIA
1991;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;4;77229266,3;64957986,8;14029547,08;6530736,14;INMOBILIARIA
69261;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;MERCADO DE VALORES;105;79128290,06;53989593,52;21289362,9;6388106,52;INMOBILIARIA
49000;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;4;42752781,9;36922358,7;9632018,74;5152411,39;INMOBILIARIA
110069;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;4;17874931,5;7911764,34;7044856,45;4018942,82;INMOBILIARIA
83682;RESPONSABILIDAD LIMITADA;COSTA;GUAYAS;DAULE;GRANDE;SOCIETARIO;157;70705362,6;21464864,6;33938996,04;3702393,68;INMOBILIARIA
76023;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;4;4650212,53;4614325,69;0;3670708,91;INMOBILIARIA
40185;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;MERCADO DE VALORES;6;171776093,6;126047305,4;19228356,71;3231422,32;INMOBILIARIA
47290;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;22;59218594;47473852,2;9079722,28;3148226,69;INMOBILIARIA
4444;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;6;20262356,4;18628553,3;4709485,95;3000924,65;INMOBILIARIA
7358;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;21;52694593;27466376,9;15001708,5;2939974,41;INMOBILIARIA
140131;ANÓNIMA;COSTA;MANABI;MANTA;GRANDE;SOCIETARIO;4;56671326,4;21597152,3;6200770,62;2896978,84;INMOBILIARIA
150975;ANÓNIMA;SIERRA;PICHINCHA;SANGOLQUÍ;GRANDE;SOCIETARIO;4;36794512,3;24977413,4;5533443,8;2705600,92;INMOBILIARIA
153335;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MEDIANA;SOCIETARIO;2;2678979,74;2669501,16;57267;2653890,4;INMOBILIARIA
121714;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;71;43898761,1;9317116,85;12256697,5;2125499,59;INMOBILIARIA
171438;ANÓNIMA;COSTA;GUAYAS;GENERAL VILLAMIL (PLAYAS);MEDIANA;SOCIETARIO;6;12827724,7;10055887;0;2088599,25;INMOBILIARIA
46546;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MEDIANA;SOCIETARIO;2;22646429,9;14255873,1;3741586,02;1660854,53;INMOBILIARIA
71248;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;2;27349704,4;12275376,1;6145734,78;1620777,16;INMOBILIARIA
46733;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MEDIANA;SOCIETARIO;3;4062949,28;2516806,15;0;1580545;INMOBILIARIA
148143;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;4;10211304,4;3482108,7;7706243,81;1564160,06;INMOBILIARIA
18637;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MEDIANA;SOCIETARIO;4;21871284,5;9769661,69;4154375,93;1455948,38;INMOBILIARIA
157987;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MEDIANA;SOCIETARIO;10;28714845,9;15962081,9;3795494,19;1380984,62;INMOBILIARIA
55755;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;37;42314858,1;18862164,3;10309831,6;1286250,38;INMOBILIARIA
19014;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;6;18665293,9;15780819,3;2016922,08;1234081,72;INMOBILIARIA
62603;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;42;22894247,8;7398558,89;13295699,52;1218821,6;INMOBILIARIA
90910;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MEDIANA;SOCIETARIO;18;6175182,66;2892637,37;1818955,55;1196744,25;INMOBILIARIA
158813;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MEDIANA;SOCIETARIO;6;11736409,3;6886676,18;2005344,9;1185760,45;INMOBILIARIA
107262;ANÓNIMA;COSTA;GUAYAS;SAMBORONDÓN;MEDIANA;SOCIETARIO;2;6003502,18;2504860,59;610396,95;1171255,71;INMOBILIARIA
120243;ANÓNIMA;COSTA;GUAYAS;SAMBORONDÓN;GRANDE;SOCIETARIO;5;2258910,47;1088594,53;7820307,97;1084775,39;INMOBILIARIA
1121;ANÓNIMA;SIERRA;TUNGURAHUA;AMBATO;MEDIANA;SOCIETARIO;22;26728478;24872689,6;1021728,47;1061329,85;INMOBILIARIA
700453;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MEDIANA;SOCIETARIO;4;12526680,3;6467547,01;2291777,28;982147,44;INMOBILIARIA
44993;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;8;4189476,39;3964874,64;192814,1;954326,05;INMOBILIARIA
129723;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;6537310,24;5077226,24;0;954278,02;INMOBILIARIA
144474;ANÓNIMA;COSTA;EL ORO;MACHALA;MEDIANA;SOCIETARIO;107;9038483,18;2725100,66;3879317,11;953767,88;INMOBILIARIA
21858;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;2;1236630,26;1233669,26;36821,82;928829,46;INMOBILIARIA
703324;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MEDIANA;SOCIETARIO;5;14387178,2;7746422,38;2113343,34;851547,81;INMOBILIARIA
109167;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;2392677,4;1402688,01;0;843201,21;INMOBILIARIA
128415;ANÓNIMA;COSTA;GUAYAS;SAMBORONDÓN;GRANDE;SOCIETARIO;4;40618932,8;2229419,13;22796805,23;828464,61;INMOBILIARIA
161365;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MEDIANA;SOCIETARIO;4;40081038,1;3477818,04;1924920,31;813859,68;INMOBILIARIA
109005;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MEDIANA;SOCIETARIO;114;3165217,34;1067240,82;4350985,63;811666,36;INMOBILIARIA
21978;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;4;20863941,9;12679933,8;2429973,2;781954,52;INMOBILIARIA
27076;RESPONSABILIDAD LIMITADA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;3;760831,59;760831,59;0;752915,91;INMOBILIARIA
