"","EXPEDIENTE","TIPO","REGIÓN","PROVINCIA","CIUDAD","TAMAÑO","SECTOR","EMPLEADOS","ACTIVO","PATRIMONIO","VENTAS","UTILIDAD","SECTOR_PROD"
"1",22576,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",7243,309114722,158032157,534224055.4,22783766.3,"AGRICULTURA"
"2",44727,"ANÓNIMA","COSTA","GUAYAS","ELOY ALFARO (DURAN)","GRANDE","SOCIETARIO",175,74574694.9,50412685.2,100228731.8,18297620.7,"AGRICULTURA"
"3",19880,"ANÓNIMA","COSTA","GUAYAS","ELOY ALFARO (DURAN)","GRANDE","SOCIETARIO",504,56725183.5,41485677.3,79758908,12887024.5,"AGRICULTURA"
"4",38768,"ANÓNIMA","COSTA","EL ORO","MACHALA","GRANDE","SOCIETARIO",3,14354720.4,12920025.8,0,11712155.4,"AGRICULTURA"
"5",44102,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","MERCADO DE VALORES",832,81063286.77,44071055.43,85983418.29,10969357.5,"AGRICULTURA"
"6",83272,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",4,8412083.72,8236163.78,0,6756459.41,"AGRICULTURA"
"7",94830,"RESPONSABILIDAD LIMITADA","SIERRA","PICHINCHA","QUITO","GRANDE","SOCIETARIO",937,74777665.3,55479739.8,84247827.53,4583747,"AGRICULTURA"
"8",127203,"ANÓNIMA","COSTA","EL ORO","MACHALA","GRANDE","SOCIETARIO",8,12569132.8,5624833.19,23858928.6,4040936.48,"AGRICULTURA"
"9",49445,"ANÓNIMA","SIERRA","PICHINCHA","QUITO","GRANDE","SOCIETARIO",339,25635840.8,12701034.6,124410682.3,3563214.17,"AGRICULTURA"
"10",126924,"ANÓNIMA","COSTA","EL ORO","MACHALA","GRANDE","SOCIETARIO",272,12315195.8,3900446.79,22181880.3,3544098.24,"AGRICULTURA"
"11",176673,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",131,13778665.9,11593806.8,15001519.3,3355394.74,"AGRICULTURA"
"12",101314,"ANÓNIMA","COSTA","GUAYAS","SAMBORONDÓN","GRANDE","SOCIETARIO",3644,34093926,17890716.5,64496019,3324994.18,"AGRICULTURA"
"13",102434,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","MERCADO DE VALORES",952,57090862.82,25925829.89,62766311.45,3225269.51,"AGRICULTURA"
"14",40424,"ANÓNIMA","COSTA","GUAYAS","ELOY ALFARO (DURAN)","GRANDE","MERCADO DE VALORES",4165,207549643.3,57013794.32,424383003.6,3200458.11,"AGRICULTURA"
"15",128276,"ANÓNIMA","COSTA","GUAYAS","ELOY ALFARO (DURAN)","GRANDE","SOCIETARIO",741,23709692.2,7745436.45,164296855.6,2691583.94,"AGRICULTURA"
"16",165111,"ANÓNIMA","COSTA","MANABI","JUNÍN","GRANDE","SOCIETARIO",41,47676706.5,13562334.8,53094496.72,2425859.03,"AGRICULTURA"
"17",72230,"ANÓNIMA","COSTA","GUAYAS","SAMBORONDÓN","MEDIANA","SOCIETARIO",4,4902693.98,2618617.35,356507.49,2355711.6,"AGRICULTURA"
"18",38244,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",140,9264965.76,4445529.46,16974385.5,2242982.43,"AGRICULTURA"
"19",714719,"ANÓNIMA","COSTA","GUAYAS","ELOY ALFARO (DURAN)","MEDIANA","SOCIETARIO",7,3012950.57,2322006.93,0,2088906.24,"AGRICULTURA"
"20",701620,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","MICROEMPRESA","SOCIETARIO",5,5498521.63,5405962.2,0,2057122.6,"AGRICULTURA"
"21",24805,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",171,9146242.81,4572127.54,13543626.82,1639907.22,"AGRICULTURA"
"22",82137,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","MEDIANA","SOCIETARIO",4,37544185.9,2951451.5,1292021.64,1490908.49,"AGRICULTURA"
